Artist,Spotify Name,Genres,Popularity,Similarity
Jason Derülo,Jason Derulo,['dance pop' 'edm' 'pop' 'pop rap' 'post-teen pop'],82.0,92
Reef,Reef The Lost Cauze,['philly rap' 'underground rap'],44.0,35
SHIRLEY BASSEY AND WILD OSCAR,Shirley Bassey,['adult standards' 'easy listening' 'lounge'],55.0,65
Serena Maneesh,Serena-Maneesh,"['dream pop' 'norwegian alternative rock' 'norwegian indie' 'nu gaze'
 'shoegaze']",17.0,93
Wize,Wiz Khalifa,"['dance pop' 'hip hop' 'pittsburgh rap' 'pop rap' 'rap' 'southern hip hop'
 'trap']",84.0,40
Gid Tanner & His Skillet Lickers,Gid Tanner And His Skillet Lickers,,20.0,94
Jude,Jude Demorest,,42.0,47
National Lampoon Comedians,Norton Lamb,['instrumental lullaby'],49.0,43
Duke Ellington And His Orchestra,Duke Ellington,"['african-american classical' 'big band' 'harlem renaissance' 'jazz'
 'jazz piano' 'stride' 'swing']",60.0,61
The Detroit Spinners,The Spinners,"['classic soul' 'disco' 'funk' 'motown' 'philly soul' 'quiet storm' 'soul'
 'southern soul']",62.0,75
Mono,Monolink,['livetronica'],63.0,67
Lil B,Lil Baby,['atl hip hop' 'atl trap' 'rap' 'trap'],91.0,77
