,Spotify Name,searched_artist_name
346,Liliput,Liliput
347,Paul Kelly & The Messengers,Paul Kelly
348,Delta 5,Delta 5
349,Method Man,Method Man
350,Ludwig van Beethoven,Ludwig van Beethoven
351,Gerry Rafferty,Gerry Rafferty
352,AlunaGeorge,AlunaGeorge
353,Edwin Hawkins,The Edwin Hawkins Singers
354,The Shaggs,The Shaggs
355,Danzig,Danzig
356,Wreckless Eric,Wreckless Eric
357,Concrete Blonde,Concrete Blonde
358,Schlammpeitziger,Schlammpeitziger
359,Virgin Prunes,Virgin Prunes
360,Rhonda Smith,Rhonda Smith
361,The Makes Nice,The Makes Nice
362,Elvin Bishop,Elvin Bishop
363,Gore Gore Girls,Gore Gore Girls
364,Rick Wilhite,Rick Wilhite
365,Califone,Califone
366,Lake Trout,Lake Trout
367,Screeching Weasel,Screeching Weasel
368,Relient K,Relient K
369,Latin Playboys,Latin Playboys
370,Celia Cruz & Johnny Pacheco,Celia Cruz
371,Machine Head,Machine Head
372,Rock Star Club,Rock Star Club
373,The Buckinghams,The Buckinghams
374,Atlantic Starr,Atlantic Starr
375,Carter Burwell,Carter Burwell
376,E.U.,E.U.
377,Bilal,Bilal
378,Static Daydream,Static Daydream
379,Judith Hill,Judith Hill
380,"Steve ""Silk"" Hurley","Steve ""Silk"" Hurley"
381,Thursday,Thursday
382,David Lynch,David Lynch
383,Des'ree,Des'ree
384,The Greyboy Allstars,The Greyboy Allstars
385,Oakley Hall,Oakley Hall
386,Birdman & Lil Wayne,Birdman
387,Ash Ra Tempel,Ash Ra Tempel
388,Jennifer Lopez,Jennifer Lopez
389,Akon,Akon
390,Jakob Dylan,Jakob Dylan
391,Ashley Parker Angel,Ashley Parker Angel
392,Ennio Morricone,Ennio Morricone
393,B Boys,B Boys
394,Frankie Miller,Frankie Miller
395,Beulah,Beulah
396,Young Widows,Young Widows
397,Scott Fisher,Scott Fisher
398,GG Allin,GG Allin
399,Figures On A Beach,Figures On A Beach
400,Joshua Starmer,Joshua Starmer
401,Erick Sermon,Erick Sermon
402,Kevin Shields,Kevin Shields
403,Pentatonix,Pentatonix
404,Little Freddie King,Little Freddie King
405,Laughing Hyenas,Laughing Hyenas
406,Amazing Blondel,Amazing Blondel
407,The Starting Line,The Starting Line
408,Blanck Mass,Blanck Mass
409,Hunters & Collectors,Hunters & Collectors
410,Split Enz,Split Enz
411,We Are Catchers,We Are Catchers
412,Penetration,Penetration
413,Large Professor,Large Professor
414,Big Joe Turner,Big Joe Turner
415,Trixter,Trixter
416,Jerry Garcia Band,Jerry Garcia Band
417,Sufjan Stevens,Sufjan Stevens
418,Red Sun Rising,Red Sun Rising
419,Bill Doggett,Bill Doggett
420,Grand Wizard Theodore,Grand Wizard Theodore
421,Lola Kirke,Lola Kirke
422,The English Beat,The Beat
423,The Caulfields,The Caulfields
424,"George Tandy, Jr.","George Tandy, Jr."
425,Joanne Brackeen,Joanne Brackeen
426,Acoustic Alchemy,Acoustic Alchemy
427,The Sounds,The Sounds
428,Jillian Jacqueline,Jillian Jacqueline
429,Tom McRae,Tom McRae
430,John Wesley Harding,John Wesley Harding
431,Garbage,Garbage
432,Razorcuts,Razorcuts
433,Gavin Friday,Gavin Friday
434,B.B. King,B.B. King
435,VanJess,VanJess
436,Manuel Göttsching,Manuel Göttsching
437,The Showmen,The Showmen
438,Tyler Carter,Tyler Carter
439,Kicking Giant,Kicking Giant
440,Electric Guest,Electric Guest
441,Mr. Bungle,Mr. Bungle
442,The Shangri-Las,The Shangri-Las
443,Will Smith,Will Smith
444,Avion Roe,Avion Roe
445,Orange Juice,Orange Juice
446,Mint Condition,Mint Condition
447,Prick,Prick
448,Windsor For The Derby,Windsor For The Derby
449,Little Matador,Little Matador
450,"Nas & Damian ""Jr. Gong"" Marley",Nas
